2327.97	2326.3	2327.97	2326.3	2208.8	2206.4	2329.63	2204.8	
2327.97	2326.3	2327.97	2326.3	2207.2	2204.8	2331.3	2204.0	
2328.80	2325.47	2328.80	2325.47	2209.6	2202.4	2332.13	2202.4	
2327.97	2325.47	2327.97	2325.47	2210.4	2200.8	2330.46	2199.2	
2200.67	2198.18	2200.67	2198.18	2163.2	2158.4	2248.1	2115.2	
1773.02	1772.19	1773.02	1772.19	1663.2	1816.0	1995.17	1524.8	
1461.02	1456.86	1461.02	1456.86	1365.6	1257.6	1801.31	860.8	
721.38	1092.45	1093.28	766.3	954.4	818.4	1367.01	456.8	
458.46	480.93	571.62	388.58	642.4	641.6	777.12	180.8	
41.63	36.64	84.9	37.47	22.4	16.8	37.47	352.0	
